"CountryCode","SeriesCode","DESCRIPTION",
"AFG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AGO","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat",
"ARG","SP.POP.TOTL","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AUS","SP.POP.TOTL","Data source: Australian Bureau of Statistics",
"AUT","SP.POP.TOTL","Data source: Eurostat",
"AZE","SP.POP.TOTL","Data source: Eurostat, State Statistical Committee, United Nations World Population Prospects",
"BDI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BEL","SP.POP.TOTL","Data source: Eurostat",
"BEN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BFA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BGD","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BGR","SP.POP.TOTL","Data source: Eurostat",
"BIH","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BLR","SP.POP.TOTL","Data source: National Statistical Committee of the Republic of Belarus",
"BLZ","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BOL","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BRA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BTN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BWA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CAF","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CAN","SP.POP.TOTL","Data source: Statistics Canada",
"CHE","SP.POP.TOTL","Data source: Eurostat",
"CHL","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CHN","SP.POP.TOTL","Data source: National Bureau of Statistics",
"CIV","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CMR","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"COD","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"COG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"COL","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"COM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CPV","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CRI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CYP","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CZE","SP.POP.TOTL","Data source: Eurostat",
"DEU","SP.POP.TOTL","Data source: Eurostat",
"DJI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"DNK","SP.POP.TOTL","Data source: Eurostat",
"DOM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"DZA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ECU","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"EGY","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ERI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ESP","SP.POP.TOTL","Data source: Eurostat",
"EST","SP.POP.TOTL","Data source: Eurostat",
"ETH","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"FIN","SP.POP.TOTL","Data source: Eurostat",
"FJI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"FRA","SP.POP.TOTL","Data source: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion.",
"FSM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"GAB","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"GBR","SP.POP.TOTL","Data source: Eurostat",
"GEO","SP.POP.TOTL","Data source and note: GeoStats. Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",
"GHA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"GIN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"GMB","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"GNB","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"GNQ","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"GRC","SP.POP.TOTL","Data source: Eurostat",
"GTM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"GUY","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"HND","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"HRV","SP.POP.TOTL","Data source: Croatian Bureau of Statistics, Eurostat",
"HTI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"HUN","SP.POP.TOTL","Data source: Eurostat",
"IDN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"IND","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"IRL","SP.POP.TOTL","Data source: Eurostat",
"IRN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"IRQ","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ISL","SP.POP.TOTL","Data source: Eurostat",
"ISR","SP.POP.TOTL","Data source: Central Bureau of Statistics",
"ITA","SP.POP.TOTL","Data source: Eurostat",
"JAM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"JOR","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"JPN","SP.POP.TOTL","Data source: Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report",
"KAZ","SP.POP.TOTL","Data source: Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects",
"KEN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"KGZ","SP.POP.TOTL","Data source: National Statistical Committee",
"KHM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"KIR","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"KOR","SP.POP.TOTL","Data source: Korean Statistical Information Service",
"LAO","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"LBN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"LBR","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"LCA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"LKA","SP.POP.TOTL","Data source: Department of Census and Statistics Sri Lanka, United Nations World Population Prospects",
"LSO","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"LTU","SP.POP.TOTL","Data source: Eurostat",
"LUX","SP.POP.TOTL","Data source: Eurostat",
"LVA","SP.POP.TOTL","Data source: Eurostat",
"MAR","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MDA","SP.POP.TOTL","Data source: National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",
"MDG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MDV","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MEX","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MKD","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MLI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MLT","SP.POP.TOTL","Data source: Eurostat",
"MMR","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MNE","SP.POP.TOTL","Data source: For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards.",
"MNG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MOZ","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MRT","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MUS","SP.POP.TOTL","Data source: Statistics Mauritius, United Nations World Population Prospects",
"MWI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"MYS","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"NAM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"NER","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"NGA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"NIC","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"NLD","SP.POP.TOTL","Data source: Eurostat",
"NOR","SP.POP.TOTL","Data source: Eurostat",
"NPL","SP.POP.TOTL","Data source: United Nations World Population Prospects",
