"CountryCode","SeriesCode","Year","DESCRIPTION",
"AFG","SI.POV.NAHC","YR2007","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AFG","SI.POV.NAHC","YR2011","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AFG","SI.POV.NAHC","YR2016","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AFG","SI.POV.NAHC.NC","YR2007","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AFG","SI.POV.NAHC.NC","YR2011","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AFG","SI.POV.NAHC.NC","YR2016","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AGO","SI.DST.02ND.20","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.DST.02ND.20","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.DST.03RD.20","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.DST.03RD.20","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.DST.04TH.20","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.DST.04TH.20","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.DST.05TH.20","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.DST.05TH.20","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.DST.10TH.10","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.DST.10TH.10","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.DST.FRST.10","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.DST.FRST.10","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.DST.FRST.20","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.DST.FRST.20","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.DDAY","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.DDAY","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.GAPS","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.GAPS","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.GINI","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.GINI","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.LMIC","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.LMIC","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.LMIC.GP","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.LMIC.GP","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.LMIC.NO","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.LMIC.NO","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.NAGP","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.NAGP.NC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.NAHC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.NAHC.NC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.NOP1","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.NOP1","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.RUGP","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.RUGP.NC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.RUHC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.RUHC.NC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.UMIC","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.UMIC","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.UMIC.GP","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.UMIC.GP","YR2008","Estimated from unit-record consumption data.",
"AGO","SI.POV.UMIC.NO","YR2000","Estimated from unit-record consumption data.",
"AGO","SI.POV.UMIC.NO","YR2008","Estimated from unit-record consumption data.",
